Objects
200
,,Global Angle firefly_blue:firefly_blue,,,,,,Global Angle testBalls:testBalls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
252,0,,,,,,,-0.0601809,0.00337469,-3.02073,-872.613,-684.55,50.7651
253,0,,,,,,,-0.0368319,-0.0239047,-3.01972,-872.681,-684.584,50.7832
254,0,,,,,,,-0.0355438,-0.0239526,-3.02007,-872.706,-684.629,50.7723
255,0,,,,,,,-0.0399423,-0.0209323,-3.01997,-872.701,-684.582,50.7258
256,0,,,,,,,-0.0414154,-0.0181461,-3.0195,-872.727,-684.518,50.5649
257,0,,,,,,,-0.0419809,-0.0174683,-3.01807,-872.717,-684.431,50.4903
258,0,,,,,,,-0.0438069,-0.0154554,-3.01883,-872.695,-684.425,50.4691
259,0,,,,,,,-0.0446493,-0.0144515,-3.01932,-872.701,-684.49,50.5181
260,0,,,,,,,-0.0436713,-0.0154514,-3.01953,-872.695,-684.569,50.6256
261,0,,,,,,,-0.0407302,-0.015869,-3.01975,-872.671,-684.632,50.652
262,0,,,,,,,-0.0420232,-0.0165816,-3.01951,-872.676,-684.613,50.618
263,0,,,,,,,-0.0461766,-0.0127939,-3.02025,-872.708,-684.438,50.5959
264,0,,,,,,,-0.0501847,-0.00736896,-3.01932,-872.722,-684.336,50.5491
265,0,,,,,,,-0.0522046,-0.00513795,-3.01957,-872.722,-684.311,50.567
266,0,,,,,,,-0.0522107,-0.00427382,-3.01935,-872.679,-684.456,50.662
267,0,,,,,,,-0.0529519,-0.0045419,-3.0183,-872.609,-684.741,50.8359
268,0,,,,,,,-0.0538397,-0.0037289,-3.02103,-872.641,-684.674,50.9018
269,0,,,,,,,-0.0552124,-0.0019956,-3.02031,-872.654,-684.648,50.7404
270,0,,,,,,,-0.0623245,0.00661519,-3.02022,-872.655,-684.565,50.6213
271,0,,,,,,,-0.0635009,0.00557368,-3.02028,-872.633,-684.469,50.6019
272,0,,,,,,,-0.0609014,0.0045604,-3.02025,-872.601,-684.544,50.6266
